RA,DEC
312.230261,-55.447407
308.499397,-56.930018
308.901327,-52.941866
309.852903,-54.587575
308.140402,-55.950437
306.837488,-55.307909
314.658694,-54.155131
312.383674,-53.739638
314.335221,-56.994493
305.880526,-55.639297
305.999308,-55.532770
308.553599,-55.771477
306.488150,-54.802253
311.223028,-54.935357
311.986169,-54.720463
309.151106,-56.690157
310.025326,-53.885622
309.709748,-57.827597
309.240926,-56.694992
309.906280,-57.883643
305.797472,-55.610643
312.383852,-57.293434
308.056674,-56.436811
305.728074,-54.093828
312.914793,-57.079282
310.559637,-54.252609
314.880769,-57.577854
307.516296,-54.796390
314.277929,-55.188941
309.188854,-54.273582
308.447521,-57.070609
310.165082,-54.600109
310.783141,-54.806699
312.488100,-57.281621
309.783925,-56.182121
310.084240,-55.101320
313.690247,-54.634831
314.993700,-55.223142
312.867475,-57.036681
305.821408,-55.601649
309.115745,-56.672641
307.110482,-56.638359
308.066643,-56.408448
312.881397,-53.754541
313.863916,-54.967742
307.898907,-55.745534
311.613448,-55.882099
309.060804,-57.187356
310.287163,-52.912894
315.373389,-55.614615
313.769290,-54.639549
308.079053,-56.383541
310.834551,-54.850166
312.886697,-57.064161
306.702028,-55.403869
312.933100,-57.055777
309.010964,-57.180902
309.926864,-57.896155
306.807316,-55.330379
306.726746,-55.294516
309.921463,-55.285607
310.092279,-54.566540
310.054237,-54.667755
310.615014,-54.101749
306.208427,-53.985105
312.213387,-55.452129
314.703852,-57.602657
313.329955,-55.459423
312.839891,-56.804464
311.801315,-56.198151
308.519283,-57.035765
310.367055,-53.427765
308.225248,-56.008506
309.032318,-57.613741
311.753810,-54.213057
306.632445,-55.394125
311.784803,-53.793525
310.087444,-55.226423
311.228960,-53.638799
310.446047,-53.735911
308.547792,-55.777049
311.536519,-54.049368
313.710878,-54.603581
314.681962,-54.932240
312.882591,-56.783653
310.781467,-54.831976
310.716019,-54.862666
313.842036,-55.090649
311.873913,-55.599635
309.759747,-57.876654
309.843573,-56.181842
309.748586,-56.163163
309.700133,-57.829495
311.073261,-56.500806
312.644225,-54.337284
310.070698,-55.289086
311.203651,-53.378350
304.658333,-57.428335
315.730040,-55.269134
308.557597,-56.858526
312.428281,-56.695094
315.496628,-54.633138
310.164512,-54.554803
309.090851,-57.211336
314.406331,-57.007498
311.105144,-54.131341
304.841331,-56.865418
306.280539,-53.981472
312.045979,-57.394282
309.264718,-53.923655
308.080245,-52.967555
311.384995,-55.085101
309.105515,-56.751128
310.760310,-54.839159
308.748550,-56.051264
308.965863,-53.334232
310.119375,-55.111056
312.878144,-56.780349
310.037397,-54.652738
313.015435,-57.064120
309.821540,-55.835556
310.149431,-55.116464
310.177863,-54.619509
310.648984,-56.064394
309.178864,-57.591867
311.999005,-57.392614
311.333534,-55.271572
307.797682,-53.694455
312.400417,-56.693509
309.300632,-54.652054
313.708382,-54.660214
309.930311,-53.900043
310.087385,-54.631419
312.451858,-57.325931
309.864625,-56.363273
306.666067,-54.799874
306.726623,-55.330271
312.634069,-54.324422
314.671304,-57.659357
310.354513,-53.456438
309.829395,-57.852348
305.950483,-55.562798
308.378890,-53.247105
311.215962,-54.926957
308.153267,-56.496073
312.443075,-57.350272
310.089264,-55.288386
312.996551,-56.230068
308.988497,-56.742239
310.351254,-53.946119
