J202827-571807 20h28m27.7279s,-57d18m07.2072s 9351
J203915-562209 20h39m15.5513s,-56d22m09.66s 9351
J210501-563858 21h05m00.9658s,-56d38m58.236s 9351
J202944-575721 20h29m44.8908s,-57d57m21.4416s 9351
J202231-551645 20h22m31.506s,-55d16m45.822s 9351
J204128-532512 20h41m28.4107s,-53d25m12.1368s 9351
J210236-552927 21h02m36.8042s,-55d29m27.1536s 9351
J202657-565605 20h26m57.0072s,-56d56m05.3844s 9351
J205733-532309 20h57m33.6139s,-53d23m09.3696s 9351
J210234-580404 21h02m34.5778s,-58d04m04.4616s 9351
J210257-562050 21h02m57.9418s,-56d20m50.4528s 9351
J203828-575544 20h38m28.7395s,-57d55m44.346s 9351
J210257-542935 21h02m57.9017s,-54d29m35.0844s 9351
J203531-571542 20h35m31.0488s,-57d15m42.9372s 9351
J202225-560949 20h22m25.8295s,-56d09m49.2048s 9351
J210506-551429 21h05m06.3626s,-55d14m29.5224s 9351
J210039-542913 21h00m39.9106s,-54d29m13.5708s 9351
J205748-580331 20h57m48.2239s,-58d03m31.8456s 9351
J205842-562951 20h58m42.5662s,-56d29m51.9972s 9351
J204553-541213 20h45m52.9502s,-54d12m12.9996s 9351
J203945-542601 20h39m44.9563s,-54d26m01.1508s 9351
J210221-542419 21h02m21.4152s,-54d24m19.5372s 9351
J210216-542336 21h02m16.1962s,-54d23m36.0204s 9351
J205720-574101 20h57m20.9052s,-57d41m01.032s 9351
J203216-562430 20h32m15.9943s,-56d24m30.4128s 9351
J202710-530638 20h27m10.9142s,-53d06m38.79s 9351
J204545-580845 20h45m45.144s,-58d08m45.906s 9351
J202716-553047 20h27m16.0188s,-55d30m47.0484s 9351
J203603-581029 20h36m03.6245s,-58d10m29.2152s 9351
J203557-580923 20h35m57.8422s,-58d09m23.5584s 9351
J210113-571426 21h01m13.7609s,-57d14m26.9376s 9351
J204151-541323 20h41m51.427s,-54d13m23.7864s 9351
J202341-573525 20h23m41.6861s,-57d35m25.8288s 9351
J203533-572244 20h35m33.6194s,-57d22m44.3712s 9351
J205122-571028 20h51m22.363s,-57d10m28.938s 9351
J203051-582940 20h30m51.5938s,-58d29m40.5636s 9351
J202931-564434 20h29m31.6675s,-56d44m34.8936s 9351
J202211-550452 20h22m11.575s,-55d04m52.3092s 9351
J202511-562607 20h25m10.967s,-56d26m07.7856s 9351
J202448-540136 20h24m48.7241s,-54d01m36.4116s 9351
J203259-553804 20h32m59.5063s,-55d38m04.812s 9351
J205737-570052 20h57m37.8653s,-57d00m52.2828s 9351
J202300-545923 20h23m00.7049s,-54d59m23.7156s 9351
J205155-570024 20h51m55.4335s,-57d00m24.7104s 9351
J202054-552656 20h20m54.9166s,-55d26m56.562s 9351
J210148-562711 21h01m48.619s,-56d27m11.8944s 9351
J205931-573440 20h59m31.3846s,-57d34m40.2744s 9351
J203507-530038 20h35m07.1734s,-53d00m38.7288s 9351
J210229-543434 21h02m29.1218s,-54d34m34.4784s 9351
J205535-550554 20h55m34.9946s,-55d05m54.6432s 9351
J204100-552231 20h41m00.2686s,-55d22m31.8324s 9351
J205956-553347 20h59m56.8918s,-55d33m47.7252s 9351
J203956-551536 20h39m56.8963s,-55d15m36.1728s 9351
J202815-553558 20h28m15.2489s,-55d35m58.0524s 9351
J204022-543800 20h40m22.7964s,-54d37m59.1348s 9351
J203819-540549 20h38m19.6366s,-54d05m49.6176s 9351
J203218-542519 20h32m18.6199s,-54d25m19.1892s 9351
J205742-570225 20h57m42.5388s,-57d02m25.3392s 9351
J202154-561930 20h21m54.6065s,-56d19m30.7236s 9351
J203611-532105 20h36m10.985s,-53d21m05.0256s 9351
J203835-575613 20h38m35.7958s,-57d56m13.2s 9351
J202125-554542 20h21m25.7335s,-55d45m42.9336s 9351
J204935-571923 20h49m35.7338s,-57d19m23.4048s 9351
J205123-534341 20h51m23.6772s,-53d43m41.7036s 9351
J202604-564008 20h26m04.1866s,-56d40m08.904s 9351
J202221-564850 20h22m21.2957s,-56d48m50.7924s 9351
J203819-562413 20h38m19.8036s,-56d24m13.4388s 9351
J203829-562348 20h38m29.4146s,-56d23m48.8688s 9351
J203334-543122 20h33m34.44s,-54d31m22.3716s 9351
J210210-550442 21h02m10.3764s,-55d04m42.8664s 9351
J202445-562047 20h24m45.1908s,-56d20m47.5008s 9351
J205943-535852 20h59m43.5166s,-53d58m52.716s 9351
J202850-582907 20h28m50.0069s,-58d29m07.5444s 9351
J204842-550603 20h48m42.0154s,-55d06m03.4704s 9351
J210458-573046 21h04m58.4088s,-57d30m46.4796s 9351
J202611-533136 20h26m11.6983s,-53d31m36.3252s 9351
J201809-561006 20h18m09.6254s,-56d10m06.7476s 9351
J202712-562949 20h27m12.0593s,-56d29m49.938s 9351
